Clear Domain,Type,URL,DNS Lookup (ms),TCP Connect (ms),TLS Handshake (ms),DOMContentLoaded (ms),Page Load (ms),Total Time (ms)
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0.0,3877.0,0.0,6477.0,13081.0,13081.0
archive.org,clear,https://archive.org,27.0,344.0,0.0,1147.0,1744.0,1744.0
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0.0,12810.0,0.0,14460.0,36857.0,36857.0
theguardian.com,clear,https://theguardian.com,0.0,0.0,2.0,345.0,465.0,465.0
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0.0,0.0,0.0,6836.0,9403.0,9403.0
brave.com,clear,https://brave.com,20.0,47.0,1.0,328.0,385.0,385.0
dw.com,clear,https://dw.com,22.0,15.0,0.0,344.0,344.0,344.0
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0.0,983.0,0.0,2473.0,4411.0,4411.0
guardian.co.uk,clear,https://guardian.co.uk,0.0,0.0,1.0,344.0,472.0,472.0
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0.0,2812.0,0.0,4724.0,9523.0,9523.0
voanews.com,clear,https://voanews.com,51.0,46.0,0.0,357.0,1152.0,1152.0
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0.0,1488.0,0.0,2885.0,3937.0,3937.0
proton.me,clear,https://proton.me,21.0,47.0,0.0,269.0,445.0,445.0
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0.0,0.0,1.0,9771.0,10694.0,10694.0
amnesty.org,clear,https://amnesty.org,0.0,0.0,1.0,731.0,745.0,745.0
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0.0,1931.0,,4351.0,9899.0,9899.0
propublica.org,clear,https://propublica.org,35.0,14.0,0.0,1033.0,1949.0,1949.0
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0.0,2431.0,,4098.0,5662.0,5662.0
torproject.org,clear,https://torproject.org,16.0,67.0,0.0,773.0,920.0,920.0
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0.0,2486.0,,3484.0,3485.0,3485.0
archive.is,clear,https://archive.is,42.0,1079.0,0.0,1794.0,3402.0,3402.0
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0.0,2120.0,0.0,4220.0,8753.0,8753.0
rferl.org,clear,https://rferl.org,6.0,19.0,0.0,385.0,1556.0,1556.0
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0.0,1208.0,,1968.0,9120.0,9120.0
mullvad.net,clear,https://mullvad.net,0.0,0.0,2.0,352.0,777.0,777.0
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0.0,475.0,,1292.0,1293.0,1293.0
archive.ph,clear,https://archive.ph,31.0,1026.0,0.0,1712.0,2303.0,2303.0
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0.0,0.0,,5265.0,6406.0,6406.0
mempool.space,clear,https://mempool.space,0.0,0.0,1.0,465.0,2002.0,2002.0
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0.0,0.0,,10593.0,11838.0,11838.0
taz.de,clear,https://taz.de,14.0,86.0,0.0,375.0,533.0,533.0
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0.0,3303.0,,3874.0,4869.0,4869.0
marxists.org,clear,https://marxists.org,30.0,114.0,0.0,488.0,657.0,657.0
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0.0,2168.0,,3085.0,3919.0,3919.0
wiz.biz,clear,https://wiz.biz,43.0,334.0,5.0,750.0,913.0,913.0
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0.0,2012.0,,6032.0,9360.0,9360.0
f-droid.org,clear,https://f-droid.org,27.0,108.0,0.0,380.0,416.0,416.0
