Clear Domain,Type,URL,DNS Lookup (ms),TCP Connect (ms),TLS Handshake (ms),DOMContentLoaded (ms),Page Load (ms),Total Time (ms)
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0.0,3125.6,0.0,6374.8,12057.4,12057.4
archive.org,clear,https://archive.org,21.4,342.6,5.8,1179.0,1935.4,1935.4
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0.0,7022.2,0.2,9173.4,22562.4,22562.4
theguardian.com,clear,https://theguardian.com,0.0,0.0,2.4,358.6,474.8,474.8
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0.0,0.0,0.6,7285.2,10315.6,10315.6
brave.com,clear,https://brave.com,22.2,46.4,0.6,334.8,387.6,387.6
dw.com,clear,https://dw.com,19.4,16.4,0.2,364.4,364.6,364.6
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0.0,1263.4,0.4,3335.0,4649.8,4649.8
guardian.co.uk,clear,https://guardian.co.uk,0.0,0.0,3.6,396.6,495.4,495.4
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0.0,2389.0,0.0,4873.8,11328.2,11328.2
voanews.com,clear,https://voanews.com,29.0,35.0,0.0,399.2,1257.6,1257.6
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0.0,1563.0,0.2,3125.0,4268.2,4268.2
proton.me,clear,https://proton.me,16.0,61.4,0.2,317.2,519.8,519.8
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0.0,0.0,0.8,7000.2,7768.2,7768.2
amnesty.org,clear,https://amnesty.org,0.0,0.0,1.2,780.8,795.6,795.6
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0.0,2358.8,,4485.0,10697.2,10697.2
propublica.org,clear,https://propublica.org,29.0,15.8,0.0,987.8,2085.6,2085.6
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0.0,1317.0,,2885.4,4169.8,4169.8
torproject.org,clear,https://torproject.org,19.6,218.0,0.0,1327.8,1826.8,1826.8
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0.0,1812.0,,2760.8,2761.4,2761.4
archive.is,clear,https://archive.is,31.2,1043.6,0.0,1742.8,2809.6,2809.6
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0.0,2572.6,0.2,5524.8,10607.2,10607.2
rferl.org,clear,https://rferl.org,20.0,21.4,0.6,494.2,1544.8,1544.8
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0.0,946.2,,2159.6,7025.6,7025.6
mullvad.net,clear,https://mullvad.net,0.0,0.0,1.8,315.6,551.2,551.2
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0.0,509.8,,1273.0,1273.4,1273.4
archive.ph,clear,https://archive.ph,40.2,1015.4,0.2,1848.0,2460.8,2460.8
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0.0,0.0,,4978.5,6163.5,6163.5
mempool.space,clear,https://mempool.space,0.0,0.0,2.0,486.2,1943.0,1943.0
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0.0,0.0,,6079.4,7918.6,7918.6
taz.de,clear,https://taz.de,5.4,109.2,0.0,428.2,554.0,554.0
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0.0,1787.4,,2583.8,3920.8,3920.8
