Clear Domain,Type,URL,DNS Lookup (ms),TCP Connect (ms),TLS Handshake (ms),DOMContentLoaded (ms),Page Load (ms),Total Time (ms),Circuit Relays (Onion only)
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0,2822,,4893,10009,10009,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 20462CBA5DA4C2D963567D17D0B7249718114A68:scaletor:212.47.229.2:FR
archive.org,clear,https://archive.org,14,412,,1270,1838,1838,
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,18169,,19897,37745,37745,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; A553E8735D0D784589EBA80752536FA9A23100BA:acehoodbroward:64.65.63.40:NL
theguardian.com,clear,https://theguardian.com,0,0,2,382,499,499,
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0,0,,9381,12451,12451,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 580E3BD5AA99ECF6A4624E0A71AC42FEEB65F7A1:pewpew:188.245.203.234:DE
brave.com,clear,https://brave.com,32,44,,335,397,397,
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,671,,1858,3049,3049,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; A553E8735D0D784589EBA80752536FA9A23100BA:acehoodbroward:64.65.63.40:NL
guardian.co.uk,clear,https://guardian.co.uk,0,0,1,302,464,464,
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0,2348,,4436,8480,8480,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; A33CF66278CF1A6AA72C5031865B76D192FF2002:fuchs5:65.21.94.13:FI
voanews.com,clear,https://voanews.com,29,17,,300,1208,1208,
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0,2865,,4381,5190,5190,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; C721A7FE08638E61293D55BD717C1B330958417E:ElectricThing:206.71.158.54:NL
proton.me,clear,https://proton.me,17,52,,280,531,531,
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0,0,1,16457,17653,17653,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 10EDA7117390C58141050D13E3F157BA3040666A:smino:64.65.62.110:US
amnesty.org,clear,https://amnesty.org,0,0,2,674,687,687,
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0,1869,,3316,7791,7791,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 7769D751D5076B3A1998BC7CAC5687FDB08E5BBD:ra2sys:37.24.165.91:DE
propublica.org,clear,https://propublica.org,22,17,,951,1821,1821,
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0,1251,,1881,2706,2706,
torproject.org,clear,https://torproject.org,23,112,,613,875,875,
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,5113,,6066,6066,6066,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 1F348BF999D4F7BE263270F5A24F69FCCEC1399C:fluffypancakes006nl:176.65.149.97:DE
archive.is,clear,https://archive.is,30,1023,1,1706,3337,3337,
